,stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
0,253,김해시,2018-04-24,12.5,10.2,0432,16.3,1511,2.9,0214,9.4,0155,,31.4,5.5,320,1148,3.4,290,1203,1.6,1405,290,9.7,66,2356,84.4,12.1,1003.2,1013.4,0001,1008.0,1526,1010.3,13.4,0.3,1100,1.51,6.15,,,,,,,,14.8,10.0,15.0,14.7,15.1,15.2,,,,,,1.4,2.1,,,
1,253,김해시,2018-04-25,13.7,7.9,0602,20.9,1329,,,,,,,6.5,160,1724,4.2,160,1728,1.7,1444,110,4.0,23,1325,54.6,8.2,1006.7,1016.0,2157,1011.3,0252,1013.8,13.4,12.2,1200,3.06,23.33,,,,,,,,15.9,3.0,16.6,16.1,15.9,15.6,,,,,,4.0,5.7,,,
2,253,김해시,2018-04-26,14.9,7.9,0336,21.4,1240,,,,,,,7.3,160,1554,5.0,160,1556,1.7,1442,160,8.9,46,1148,68.5,11.4,1007.2,1016.7,0807,1012.5,1742,1014.3,13.5,11.3,1000,2.46,18.5,,,,,,,,16.9,3.8,16.8,16.5,16.4,16.2,,,,,,3.2,4.6,,,
3,253,김해시,2018-04-27,16.7,12.4,2400,25.1,1538,,,,,,,8.9,320,1345,5.4,320,1346,2.3,1990,320,7.4,28,1436,57.5,10.3,1007.5,1019.0,2345,1011.6,0251,1014.5,13.5,11.1,1100,2.8,20.2,,,,,,,,18.5,7.3,17.9,17.6,17.2,16.7,,,,,,4.1,5.9,,,
4,253,김해시,2018-04-28,17.1,10.4,0541,23.9,1615,,,,,,,8.7,160,1416,5.8,160,1432,1.9,1651,110,10.5,38,1552,67.3,12.7,1010.0,1019.7,0749,1014.2,1731,1017.0,13.5,12.2,1200,2.89,22.25,,,,,,,,19.0,5.8,18.3,17.9,17.5,17.0,,,,,,4.0,5.7,,,
5,253,김해시,2018-04-29,17.4,11.4,0552,24.2,1244,,,,,,,7.7,200,1503,4.8,200,1506,1.9,1617,200,9.9,32,1338,64.8,12.2,1007.5,1016.2,0735,1012.5,1701,1014.4,13.5,12.2,1200,3.0,22.85,,,,,,,,19.9,6.8,19.0,18.6,18.1,17.5,,,,,,4.3,6.2,,,
6,253,김해시,2018-04-30,19.2,14.5,0629,24.0,1444,,,,,,,8.9,250,1102,5.9,250,1105,2.0,1712,250,14.2,59,1007,73.4,16.2,1008.8,1017.7,2332,1014.1,0226,1015.7,13.6,10.5,1200,2.77,20.6,,,,,,,,21.7,11.9,20.0,19.5,18.8,18.0,,,,,,3.4,4.8,,,
7,253,김해시,2018-05-01,18.6,14.7,0627,23.9,1336,,,,,,,5.3,160,1518,3.5,160,1411,1.5,1318,160,14.2,53,1227,76.8,16.2,1008.8,1017.9,0851,1013.0,2324,1015.8,13.6,1.8,1300,2.07,9.13,,,,,,,,19.1,10.7,19.4,19.2,18.9,18.4,,,,,,1.8,2.6,,,
8,253,김해시,2018-05-02,16.2,12.8,2356,18.1,0003,1.4,0700,2.6,0622,,8.3,11.6,290,2146,7.3,320,2150,2.4,2062,140,14.9,65,2315,92.9,17.2,999.3,1013.1,0009,1003.2,1836,1006.2,13.6,0.0,1100,0.33,1.72,,,,,,,,18.0,9.5,18.6,18.4,18.5,18.2,,,,,,1.3,1.9,,,
9,253,김해시,2018-05-03,14.5,11.0,2353,19.6,1256,0.0,,0.0,,,0.0,14.3,320,1238,10.2,320,1242,5.1,4389,290,3.1,27,1259,48.0,7.6,1002.0,1012.7,2353,1005.0,0005,1009.1,13.7,10.1,1200,2.92,19.2,,,,,,,,14.9,6.7,17.2,17.0,17.3,17.4,,,,,,5.1,7.2,,,
10,253,김해시,2018-05-04,15.0,8.5,0426,21.9,1353,,,,,,,12.2,320,1336,8.2,290,1117,3.4,2933,250,4.2,18,1817,50.1,8.2,1007.6,1017.8,2359,1012.2,1617,1014.6,13.7,12.5,1300,2.97,23.64,,,,,,,,17.1,3.6,17.2,16.9,16.9,16.9,,,,,,5.4,7.8,,,
11,253,김해시,2018-05-05,18.3,11.1,0450,25.1,1252,,,,,,,8.7,250,1343,5.5,140,1526,2.5,2177,200,7.4,26,1116,51.1,10.7,1010.5,1018.7,0728,1016.0,1610,1017.5,13.7,11.5,1200,2.71,21.68,,,,,,,,18.4,4.6,18.3,17.9,17.6,17.3,,,,,,4.3,6.1,,,
12,253,김해시,2018-05-06,16.6,15.4,0836,18.0,0102,1.2,1538,3.9,1250,,25.7,10.4,140,0829,6.4,160,0838,2.6,2243,110,15.8,65,0001,95.6,17.9,1002.3,1016.9,0001,1004.7,1623,1009.3,13.8,0.0,1200,0.08,0.28,,,,,,,,16.8,14.1,17.7,17.6,17.8,17.6,,,,,,0.3,0.4,,,
